"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","SINGLE_CHOICE_CONFLICT_REVIEW","q6","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","SINGLE_CHOICE_CONFLICT_REVIEW","q7","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_013.png","inputs\MX-M3658N_20260803_172528_013.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_013.png","SINGLE_CHOICE_CONFLICT_REVIEW","q8","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q1","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q2","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q3","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q5","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q6","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q7","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_014.png","inputs\MX-M3658N_20260803_172528_014.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q8","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","ID_REVIEW","id1","","6","0.667","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.34","max_mean_without_adaptive_support","0.333","-0.038","0.201","0.594","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","ID_REVIEW","id2","","4","0.849","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","4.25","","0.151","0.077","0.396","0.917","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","ID_REVIEW","id3","","2","0.502","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.51","adaptive_max_mean","0.498","0.012","0.208","0.578","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","ID_REVIEW","id4","","4","0.479","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.39","adaptive_max_mean","0.521","0.096","0.257","0.840","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","ID_REVIEW","id5","","2","0.477","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.38","adaptive_max_mean","0.523","-0.004","0.306","0.847","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","ID_REVIEW","id6","","3","0.704","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.52","","0.296","0.046","0.222","0.518","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","ID_REVIEW","id7","","9","0.653","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.27","","0.347","0.031","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","SINGLE_CHOICE_CONFLICT_REVIEW","q1","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","SINGLE_CHOICE_CONFLICT_REVIEW","q2","ABC","A","0.450","REVIEW","single_choice_conflict","gap,delta_from_blank","2.25","","0.550","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_015.png","inputs\MX-M3658N_20260803_172528_015.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_015.png","WEAK_MARK_REVIEW","q3","","B","0.354","LEGACY","score_disabled","","0.00","max_mean","0.000","0.075","0.087","1.612","1.000","1.000"
